brand_name,generic_name
Jesacrin 750mg modified-release tablets,Metformin 750mg modified-release tablets
"Jext 300micrograms/0.3ml (1 in 1,000) solution for injection auto-injectors","adrenaline (base) 300micrograms/0.3ml (1 in 1,000) solution for injection pre-filled disposable devices"
Kenalog Intra-articular / Intramuscular 40mg/1ml suspension for injection vials,methylprednisolone acetate 40mg/1ml suspension for injection vials
Keppra 1g tablets,Levetiracetam 1g tablets
Keppra 250mg tablets,Levetiracetam 250mg tablets
Kliofem tablets,Estradiol 2mg / Norethisterone acetate 1mg tablets
Kliovance tablets,Estradiol 1mg / Norethisterone acetate 500microgram tablets
Kwells Kids 150microgram tablets,hyoscine hydrobromide 150microgram tablets
LMX 4 cream,Lidocaine 4% cream
Lactulose 10g/15ml oral solution 15ml sachets sugar free unflavoured,Lactulose 10g/15ml oral solution 15ml sachets sugar free
Lamictal 100mg tablets,lamotrigine 100mg tablets
Lamictal 25mg dispersible tablets,lamotrigine 25mg dispersible tablets sugar free
Larbex XL 4mg tablets,Doxazosin 4mg modified-release tablets
Lariam 250mg tablets,Mefloquine 250mg tablets
Lecado 100mg/25mg modified-release tablets,co-careldopa 25mg/100mg modified-release tablets
Lecado 200mg/50mg modified-release tablets,co-careldopa 50mg/200mg modified-release tablets
Lenzetto 1.53mg/dose transdermal spray,Estradiol 1.53mg/dose transdermal spray
Levest 150/30 tablets,Ethinylestradiol 30microgram / Levonorgestrel 150microgram tablets
Levorol 6.25mg tablets,Levomepromazine 6.25mg tablets
Librium 10mg capsules,chlordiazepoxide 10mg capsules
Librium 5mg capsules,Chlordiazepoxide 5mg capsules
Lipantil Micro 267 capsules,Fenofibrate micronised 267mg capsules
Lipantil Micro 67 capsules,Fenofibrate micronised 67mg capsules
Lipitor 10mg tablets,atorvastatin 10mg tablets
Lipitor 20mg chewable tablets,atorvastatin 20mg chewable tablets sugar free
Lipitor 20mg tablets,Atorvastatin 20mg tablets
Lipozate 400mg modified-release tablets,Bezafibrate 400mg modified-release tablets
Lixiana 15mg tablets,edoxaban 15mg tablets
Lixiana 30mg tablets,Edoxaban 30mg tablets
Lixiana 60mg tablets,Edoxaban 60mg tablets
Lizinna 250microgram/35microgram tablets,Ethinylestradiol 35microgram / Norgestimate 250microgram tablets
Locoid 0.1% cream,Hydrocortisone butyrate 0.1% cream
Locoid 0.1% ointment,hydrocortisone butyrate 0.1% ointment
Lodine SR 600mg tablets,Etodolac 600mg modified-release tablets
Lorvacs XL 1.5mg tablets,Indapamide 1.5mg modified-release tablets
Losec MUPS 10mg gastro-resistant tablets,Omeprazole 10mg dispersible gastro-resistant tablets
Losec MUPS 20mg gastro-resistant tablets,Omeprazole 20mg dispersible gastro-resistant tablets
Losec MUPS 40mg gastro-resistant tablets,Omeprazole 40mg dispersible gastro-resistant tablets
Lucette 0.03mg/3mg tablets,Ethinylestradiol 30microgram / Drospirenone 3mg tablets
Lumigan 100micrograms/ml eye drops,Bimatoprost 100micrograms/ml eye drops
Lyclear 5% dermal cream,Permethrin 5% cream
Lyrica 150mg capsules,Pregabalin 150mg capsules
Macrobid 100mg modified-release capsules,nitrofurantoin 100mg modified-release capsules
Madopar 100mg/25mg capsules,Co-beneldopa 25mg/100mg capsules
Madopar 100mg/25mg dispersible tablets,Co-beneldopa 25mg/100mg dispersible tablets sugar free
Madopar 50mg/12.5mg capsules,Co-beneldopa 12.5mg/50mg capsules
Madopar 50mg/12.5mg dispersible tablets,Co-beneldopa 12.5mg/50mg dispersible tablets sugar free
Madopar CR capsules,Co-beneldopa 25mg/100mg modified-release capsules
MagnEss Gly 97.2mg (4mmol) chewable tablets,magnesium glycerophosphate (magnesium 97.2mg (4mmol)) chewable tablets sugar free
MagnaPhos 97.2mg (4mmol) chewable tablets,magnesium glycerophosphate (magnesium 97.2mg (4mmol)) chewable tablets sugar free
Magnaspartate 243mg (magnesium 10mmol) oral powder sachets,Magnesium aspartate (magnesium 10mmol) oral powder sachets
Malarone 250mg/100mg tablets,proguanil 100mg / atovaquone 250mg tablets
Malarone Paediatric 62.5mg/25mg tablets,Proguanil 25mg / Atovaquone 62.5mg tablets
Mariosea XL 4mg capsules,Tolterodine 4mg modified-release capsules
Marol 100mg modified-release tablets,tramadol 100mg modified-release capsules
Marvelon tablets,ethinylestradiol 30microgram / desogestrel 150microgram tablets
Maxalt Melt 10mg oral lyophilisates,rizatriptan 10mg oral lyophilisates sugar free
Maxidex 0.1% eye drops,Dexamethasone 0.1% eye drops
Maxitram SR 200mg capsules,Tramadol 200mg modified-release capsules
Maxitram SR 50mg capsules,Tramadol 50mg modified-release capsules
Medomon XL 60mg tablets,Isosorbide mononitrate 60mg modified-release tablets
Meijumet 1000mg modified-release tablets,Metformin 1g modified-release tablets
Menorest 37.5 patches,estradiol 37.5micrograms/24hours transdermal patches
Mentino 10mg orodispersible tablets,Memantine 10mg orodispersible tablets sugar free
Meptid 200mg tablets,Meptazinol 200mg tablets
Mestinon 60mg tablets,pyridostigmine bromide 60mg tablets
Methofill 10mg/0.2ml solution for injection pre-filled injector,Methotrexate 10mg/0.2ml solution for injection pre-filled disposable devices
Methofill 10mg/0.2ml solution for injection pre-filled syringes,Methotrexate 10mg/0.2ml solution for injection pre-filled syringes
Methofill 15mg/0.3ml solution for injection pre-filled injector,Methotrexate 15mg/0.3ml solution for injection pre-filled disposable devices
Methofill 17.5mg/0.35ml solution for injection pre-filled injector,Methotrexate 17.5mg/0.35ml solution for injection pre-filled disposable devices
Methofill 17.5mg/0.35ml solution for injection pre-filled syringes,Methotrexate 17.5mg/0.35ml solution for injection pre-filled syringes
Methofill 25mg/0.5ml solution for injection pre-filled syringes,Methotrexate 25mg/0.5ml solution for injection pre-filled syringes
Metoject 10mg/0.2ml solution for injection pre-filled syringes,methotrexate 10mg/0.2ml solution for injection pre-filled syringes
Metoject 15mg/0.3ml solution for injection pre-filled syringes,methotrexate 15mg/0.3ml solution for injection pre-filled syringes
Metoject PEN 12.5mg/0.25ml solution for injection pre-filled pens,Methotrexate 12.5mg/0.25ml solution for injection pre-filled disposable devices
Metoject PEN 15mg/0.3ml solution for injection pre-filled pens,Methotrexate 15mg/0.3ml solution for injection pre-filled disposable devices
Metoject PEN 20mg/0.4ml solution for injection pre-filled pens,Methotrexate 20mg/0.4ml solution for injection pre-filled disposable devices
Metoject PEN 25mg/0.5ml solution for injection pre-filled pens,Methotrexate 25mg/0.5ml solution for injection pre-filled disposable devices
Metrosa 0.75% gel,Metronidazole 0.75% gel
Mezavant XL 1200mg tablets,Mesalazine 1.2g gastro-resistant modified-release tablets
Microgynon 30 ED tablets,ethinylestradiol 30microgram / levonorgestrel 150microgram tablets
Microgynon 30 tablets,Ethinylestradiol 30microgram / Levonorgestrel 150microgram tablets
Millinette 20microgram/75microgram tablets,Ethinylestradiol 20microgram / Gestodene 75microgram tablets
Millinette 30microgram/75microgram tablets,Ethinylestradiol 30microgram / Gestodene 75microgram tablets
Minims dexamethasone 0.1% eye drops 0.5ml unit dose,Dexamethasone 0.1% eye drops 0.5ml unit dose preservative free
Minitran 5 transdermal patches,Glyceryl trinitrate 5mg/24hours transdermal patches
Mintec 0.2ml gastro-resistant capsules,Peppermint oil 0.2ml gastro-resistant capsules
Monopost 50micrograms/ml eye drops 0.2ml unit dose,Latanoprost 50micrograms/ml eye drops 0.2ml unit dose preservative free
Monuril 3g granules for oral solution sachets,fosfomycin 3g granules for oral solution sachets
Motifene 75mg modified-release capsules,Diclofenac sodium 75mg gastro-resistant modified-release capsules
Motusol Max 2.32% gel,Diclofenac diethylammonium 2.32% gel
Movelat Relief gel,Salicylic acid 2% / Mucopolysaccharide polysulfate 0.2% gel
Moventig 12.5mg tablets,Naloxegol 12.5mg tablets
Myfenax 250mg capsules,Mycophenolate mofetil 250mg capsules
NACSYS 600mg effervescent tablets,Acetylcysteine 600mg effervescent tablets sugar free
Naprosyn EC 500mg tablets,Naproxen 500mg gastro-resistant tablets
Naseptin nasal cream,Neomycin 0.5% / Chlorhexidine hydrochloride 0.1% nasal cream
Nasobec Aqueous 50micrograms/dose nasal spray,Beclometasone 50micrograms/dose nasal spray
Nasofan 50micrograms/dose aqueous nasal spray,Fluticasone propionate 50micrograms/dose nasal spray
Nasonex 50micrograms/dose nasal spray,mometasone 50micrograms/dose nasal spray
Natecal D3 600mg/400unit chewable tablets,Colecalciferol 400unit / Calcium carbonate 1.5g chewable tablets
Nebido 1000mg/4ml solution for injection vials,Testosterone undecanoate 1g/4ml solution for injection vials
Neozipine XL 30mg tablets,Nifedipine 30mg modified-release tablets
Neozipine XL 60mg tablets,Nifedipine 60mg modified-release tablets
Neupro 4mg/24hours transdermal patches,rotigotine 4mg/24hours transdermal patches
Neupro 8mg/24hours transdermal patches,rotigotine 8mg/24hours transdermal patches
Neurontin 600mg tablets,gabapentin 600mg tablets
Nexium Control 20mg gastro-resistant tablets,Esomeprazole 20mg gastro-resistant tablets
Nexplanon 68mg implant,etonogestrel 68mg implant
NiQuitin Clear 21mg patches,Nicotine 21mg/24hours transdermal patches
Nicotinell TTS 30 patches,Nicotine 21mg/24hours transdermal patches
Nilemdo 180mg tablets,Bempedoic acid 180mg tablets
Nizoral 2% cream,ketoconazole 2% cream
Noqdirna 50microgram oral lyophilisates,Desmopressin 50microgram oral lyophilisates sugar free
Norgeston 30microgram tablets,Levonorgestrel 30microgram tablets
Noriday 350microgram tablets,Norethisterone 350microgram tablets
Nozinan 25mg/1ml solution for injection ampoules,Levomepromazine 25mg/1ml solution for injection ampoules
Nulbia 5% cream,Lidocaine 2.5% / Prilocaine 2.5% cream
Numark Night Time Sleep Aid 25mg tablets,Diphenhydramine 25mg tablets
Nustendi 180mg/10mg tablets,Bempedoic acid 180mg / Ezetimibe 10mg tablets
Nystaform HC cream,"Nystatin 100,000units/g / Chlorhexidine hydrochloride 1% / Hydrocortisone 0.5% cream"
Nytol 25mg tablets,diphenhydramine 25mg tablets
Nytol One-A-Night 50mg tablets,Diphenhydramine 50mg tablets
Nyzamac SR 40mg capsules,Isosorbide mononitrate 40mg modified-release capsules
Nyzamac SR 60mg capsules,Isosorbide mononitrate 60mg modified-release capsules
Obgemsa 75mg tablets,Vibegron 75mg tablets
Octasa 1g suppositories,Mesalazine 1g suppositories
Octasa 400mg MR gastro-resistant tablets,Mesalazine 400mg gastro-resistant tablets
Octasa 800mg MR gastro-resistant tablets,Mesalazine 800mg gastro-resistant tablets
Ocufresh Carbomer 0.2% lubricating eye gel,Carbomer '980' 0.2% eye drops
Ocufresh Comfort Carmellose 0.5% eye drops preservative free,chloramphenicol 0.5% eye drops preservative free
Oestrogel Pump-Pack 0.06% gel,Estradiol 0.06% transdermal gel (750microgram per actuation)
Olbas Oil liquid,clove oil liquid
Olena 20mg dispersible tablets,Fluoxetine 20mg dispersible tablets sugar free
Omacor capsules,Eicosapentaenoic acid 460mg / Docosahexaenoic acid 380mg capsules
Ongentys 50mg capsules,opicapone 50mg capsules
Onglyza 2.5mg tablets,saxagliptin 2.5mg tablets
Opatanol 1mg/ml eye drops,Olopatadine 1mg/ml eye drops
Otex 5% ear drops,Urea hydrogen peroxide 5% ear drops
Otigo 40mg/g / 10mg/g ear drops,Phenazone 40mg/g / Lidocaine 10mg/g ear drops
Otomize ear spray,Dexamethasone 0.1% / Neomycin 0.5% / Acetic acid (glacial) 2% ear spray
Ovex 100mg chewable tablets,Mebendazole 100mg chewable tablets sugar free
Parmid XL 2.5mg tablets,Felodipine 2.5mg modified-release tablets
Paroven 250mg capsules,Oxerutins 250mg capsules
Pentasa 1g modified-release granules sachets,Mesalazine 1g modified-release granules sachets sugar free
Pentasa 1g modified-release tablets,Mesalazine 1g modified-release tablets
Pentasa 1g suppositories,mesalazine 1g suppositories
Pentasa 2g modified-release granules sachets,mesalazine 2g modified-release granules sachets sugar free
Pentasa 500mg modified-release tablets,Mesalazine 500mg modified-release tablets
PepperMinn 0.2ml gastro-resistant capsules,peppermint oil 0.2ml gastro-resistant capsules
Phenergan 25mg tablets,Promethazine hydrochloride 25mg tablets
Phorpain 5% gel,Ibuprofen 5% gel
Phorpain Maximum Strength 10% gel,Ibuprofen 10% gel
Physiotens 200microgram tablets,Moxonidine 200microgram tablets
Physiotens 300microgram tablets,Moxonidine 300microgram tablets
Pinefeld XL 10mg tablets,Felodipine 10mg modified-release tablets
Pipexus 0.52mg modified-release tablets,pramipexole 520microgram modified-release tablets
Pipexus 1.57mg modified-release tablets,Pramipexole 1.57mg modified-release tablets
Piriton 4mg tablets,Chlorphenamine 4mg tablets
Piriton Allergy 4mg tablets,chlorphenamine 4mg tablets
Ponstan 250mg capsules,mefenamic acid 250mg capsules
Powergel 2.5% gel,Ketoprofen 2.5% gel
Pradaxa 110mg capsules,dabigatran etexilate 110mg capsules
Pradaxa 150mg capsules,Dabigatran etexilate 150mg capsules
Prednisolone 5mg soluble tablets,Prednisolone 5mg soluble tablets sugar free
Priadel 200mg modified-release tablets,Lithium carbonate 200mg modified-release tablets
Priadel 400mg modified-release tablets,Lithium carbonate 400mg modified-release tablets
"Pro D3 1,000unit capsules","Colecalciferol 1,000unit capsules"
"Pro D3 20,000unit capsules","Colecalciferol 20,000unit capsules"
Pro-Banthine 15mg tablets,Propantheline bromide 15mg tablets
Progynova 1mg tablets,estradiol valerate 1mg tablets
Progynova 2mg tablets,Estradiol valerate 2mg tablets
Progynova TS 100micrograms/24hours transdermal patches,estradiol 100micrograms/24hours transdermal patches
Prostap 3 DCS 11.25mg powder and solvent for suspension for injection pre-filled syringes,triptorelin acetate 3.75mg powder and solvent for prolonged-release suspension for injection pre-filled syringes
Prostap SR DCS 3.75mg powder and solvent for suspension for injection pre-filled syringes,Leuprorelin 3.75mg powder and solvent for prolonged-release suspension for injection pre-filled syringes
Protopic 0.03% ointment,Tacrolimus 0.03% ointment
Protopic 0.1% ointment,Tacrolimus 0.1% ointment
Pulmicort 100 Turbohaler,Budesonide 100micrograms/dose dry powder inhaler
Pulmicort 200 Turbohaler,Budesonide 200micrograms/dose dry powder inhaler
Purosure Ferrous fumarate 210mg tablets,Ferrous fumarate 210mg tablets
Purosure Vitamin D3 800unit capsules,Colecalciferol 800unit capsules
Quviviq 25mg tablets,Daridorexant 25mg tablets
Quviviq 50mg tablets,Daridorexant 50mg tablets
Qvar 100 Autohaler,Beclometasone 100micrograms/dose breath actuated inhaler CFC free
Qvar 100 inhaler,Beclometasone 100micrograms/dose inhaler CFC free
Qvar 50 Autohaler,Beclometasone 50micrograms/dose breath actuated inhaler CFC free
Qvar 50 inhaler,Beclometasone 50micrograms/dose inhaler CFC free
Ranexa 500mg modified-release tablets,Ranolazine 500mg modified-release tablets
Ranogelan 375mg prolonged-release tablets,ranolazine 375mg modified-release tablets
Raponer XL 4mg tablets,ropinirole 4mg modified-release tablets
Raporsin XL 4mg tablets,Doxazosin 4mg modified-release tablets
ReQuip 2mg tablets,Ropinirole 2mg tablets
ReQuip XL 4mg tablets,Ropinirole 4mg modified-release tablets
ReQuip XL 8mg tablets,Ropinirole 8mg modified-release tablets
Rectogesic 0.4% rectal ointment,glyceryl trinitrate 0.4% rectal ointment
Regurin XL 60mg capsules,Trospium chloride 60mg modified-release capsules
Relosorb XL 60mg tablets,Isosorbide mononitrate 60mg modified-release tablets
Relvar Ellipta 184micrograms/dose / 22micrograms/dose dry powder inhaler,Fluticasone furoate 184micrograms/dose / Vilanterol 22micrograms/dose dry powder inhaler
Relvar Ellipta 92micrograms/dose / 22micrograms/dose dry powder inhaler,Fluticasone furoate 92micrograms/dose / Vilanterol 22micrograms/dose dry powder inhaler
Remedeine Forte tablets,Co-dydramol 30mg/500mg tablets
Remedeine tablets,Co-dydramol 20mg/500mg tablets
Renacet 475mg tablets,calcium acetate 475mg tablets
Retalzem 60 modified-release tablets,Diltiazem 60mg modified-release tablets
Rifadin 300mg capsules,Rifampicin 300mg capsules
Rigevidon tablets,Ethinylestradiol 30microgram / Levonorgestrel 150microgram tablets
Rinaspray 21micrograms/dose nasal spray,ipratropium bromide 21micrograms/dose nasal spray
Risperidone 250microgram tablets,risperidone 500microgram tablets
Roaccutane 20mg capsules,isotretinoin 20mg capsules
Rozex 0.75% cream,metronidazole 0.75% cream
Rudimet 1000mg Prolonged Release tablets,Metformin 1g modified-release tablets
Ryaltris 25micrograms/dose / 600micrograms/dose nasal spray,Mometasone 25micrograms/dose / Olopatadine 600micrograms/dose nasal spray
Salagen 5mg tablets,pilocarpine 5mg tablets
Salamol 100micrograms/dose Easi-Breathe inhaler,Salbutamol 100micrograms/dose breath actuated inhaler CFC free
Salamol 100micrograms/dose inhaler CFC free,Salbutamol 100micrograms/dose inhaler CFC free
Salbutamol 2.5mg/2.5ml nebuliser liquid unit dose vials,salbutamol 2.5mg/2.5ml nebuliser liquid unit dose ampoules
Salofalk 1g gastro-resistant modified-release granules sachets,Mesalazine 1g gastro-resistant modified-release granules sachets sugar free
Salofalk 1g gastro-resistant tablets,Mesalazine 1g gastro-resistant tablets
Salofalk 1g suppositories,Mesalazine 1g suppositories
Sandrena 1mg gel sachets,Estradiol 1mg transdermal gel sachets
Sandrena 500microgram gel sachets,Estradiol 500microgram transdermal gel sachets
Sawis 2mg tablets,Dienogest 2mg tablets
Sayana Press 104mg/0.65 ml suspension for injection pre-filled disposable devices,Medroxyprogesterone 104mg/0.65ml suspension for injection pre-filled disposable devices
Scheriproct ointment,cinchocaine 0.5% / prednisolone 0.19% ointment
Securon SR 240mg tablets,Verapamil 240mg modified-release tablets
Selexid 200mg tablets,pivmecillinam 200mg tablets
Senna 7.5mg tablets 12 Years Plus,senna 7.5mg tablets
Sennosides 7.5mg tablets,senna 7.5mg tablets
Sennosides 7.5mg tablets 12 Years Plus,senna 7.5mg tablets
Serc 8mg tablets,Betahistine 8mg tablets
Sereflo 25micrograms/dose / 125micrograms/dose inhaler,fluticasone 125micrograms/dose / salmeterol 25micrograms/dose inhaler cfc free
Sereflo 25micrograms/dose / 250micrograms/dose inhaler,fluticasone 250micrograms/dose / salmeterol 25micrograms/dose inhaler cfc free
Seretide 250 Evohaler,Fluticasone 250micrograms/dose / Salmeterol 25micrograms/dose inhaler CFC free
Seretide 50 Evohaler,fluticasone 50micrograms/dose / salmeterol 25micrograms/dose inhaler cfc free
Serevent 25micrograms/dose Evohaler,Salmeterol 25micrograms/dose inhaler CFC free
Simbrinza 10mg/ml / 2mg/ml eye drops,Brinzolamide 10mg/ml / Brimonidine 2mg/ml eye drops
Sinemet 12.5mg/50mg tablets,co-careldopa 12.5mg/50mg tablets
Skinoren 20% cream,Azelaic acid 20% cream
Slenyto 1mg modified-release tablets,Melatonin 1mg modified-release tablets
Slenyto 5mg modified-release tablets,Melatonin 5mg modified-release tablets
Slozem 120mg capsules,Diltiazem 120mg modified-release capsules
Slozem 300mg capsules,Diltiazem 300mg modified-release capsules
Slynd 4mg tablets,Drospirenone 4mg tablets
Softacort 3.35mg/ml eye drops 0.4ml unit dose,Hydrocortisone sodium phosphate 3.35mg/ml eye drops 0.4ml unit dose preservative free
Solaraze 3% gel,Diclofenac sodium 3% gel
Sondate XL 200mg tablets,Quetiapine 200mg modified-release tablets
Sondate XL 400mg tablets,Quetiapine 400mg modified-release tablets
Soprobec 100micrograms/dose inhaler,Beclometasone 100micrograms/dose inhaler CFC free
Soprobec 50micrograms/dose inhaler,Beclometasone 50micrograms/dose inhaler CFC free
Spiolto Respimat 2.5micrograms/dose / 2.5micrograms/dose inhalation solution cartridge with device,Tiotropium bromide 2.5micrograms/dose / Olodaterol 2.5micrograms/dose solution for inhalation cartridge with device CFC free
Spiolto Respimat 2.5micrograms/dose / 2.5micrograms/dose inhalation solution refill cartridge,Tiotropium bromide 2.5micrograms/dose / Olodaterol 2.5micrograms/dose inhalation solution cartridge CFC free
Spiriva 18microgram inhalation powder capsules,Tiotropium bromide 18microgram inhalation powder capsules
Spiriva Respimat 2.5micrograms/dose inhalation solution cartridge with device,Tiotropium bromide 2.5micrograms/dose solution for inhalation cartridge with device CFC free
Spiriva Respimat 2.5micrograms/dose inhalation solution refill cartridge,Tiotropium bromide 2.5micrograms/dose inhalation solution cartridge CFC free
Stalevo 100mg/25mg/200mg tablets,levodopa 100mg / carbidopa 25mg / entacapone 200mg tablets
Stalevo 125mg/31.25mg/200mg tablets,levodopa 125mg / carbidopa 31.25mg / entacapone 200mg tablets
Stalevo 175mg/43.75mg/200mg tablets,levodopa 175mg / carbidopa 43.75mg / entacapone 200mg tablets
Stemetil 5mg tablets,Prochlorperazine 5mg tablets
"Strivit-D3 20,000unit capsules","Colecalciferol 20,000unit capsules"
Sukkarto SR 1000mg tablets,Metformin 1g modified-release tablets
Sumatriptan 6mg/0.5ml solution for injection pre-filled pens,Sumatriptan 6mg/0.5ml solution for injection pre-filled disposable devices
"SunVit-D3 20,000unit capsules","colecalciferol 20,000unit capsules"
SunVit-D3 200unit with Calcium 500mg chewable tablets,colecalciferol 200unit / calcium carbonate 1.25g chewable tablets
"SunVit-D3 4,000unit tablets","colecalciferol 4,000unit tablets"
Sunveniz XL 75mg tablets,Venlafaxine 75mg modified-release tablets
Symbicort 100/6 Turbohaler,Budesonide 100micrograms/dose / Formoterol 6micrograms/dose dry powder inhaler
Symbicort 100micrograms/dose / 3micrograms/dose pressurised inhaler,Budesonide 100micrograms/dose / Formoterol 3micrograms/dose inhaler CFC free
Symbicort 200/6 Turbohaler,Budesonide 200micrograms/dose / Formoterol 6micrograms/dose dry powder inhaler
Symbicort 200micrograms/dose / 6micrograms/dose pressurised inhaler,Budesonide 200micrograms/dose / Formoterol 6micrograms/dose inhaler CFC free
Synalar 0.025% cream,fluocinolone acetonide 0.025% cream
Synalar 0.025% gel,Fluocinolone acetonide 0.025% gel
Synjardy 12.5mg/1000mg tablets,empagliflozin 12.5mg / metformin 1g tablets
Synjardy 5mg/1000mg tablets,empagliflozin 5mg / metformin 1g tablets
Syonell 250mg gastro-resistant tablets,Valproic acid 250mg gastro-resistant tablets
Syonell 500mg gastro-resistant tablets,Valproic acid 500mg gastro-resistant tablets
Tamfrex XL 400microgram capsules,Tamsulosin 400microgram modified-release capsules
Tamsumac 0.4mg modified-release capsules,Tamsulosin 400microgram modified-release capsules
Tamurex 400microgram modified-release capsules,tamsulosin 400microgram modified-release capsules
Targaxan 550mg tablets,Rifaximin 550mg tablets
Tegretol 100mg tablets,Carbamazepine 100mg tablets
Tegretol 200mg tablets,Carbamazepine 200mg tablets
Tegretol 400mg tablets,Carbamazepine 400mg tablets
Tegretol Prolonged Release 200mg tablets,Carbamazepine 200mg modified-release tablets
Tegretol Prolonged Release 400mg tablets,Carbamazepine 400mg modified-release tablets
Telfast 30mg tablets,Fexofenadine 30mg tablets
Tensipine MR 10 tablets,Nifedipine 10mg modified-release tablets
Testavan 20mg/g transdermal gel,testosterone 20mg/g transdermal gel (23mg per actuation) with applicator
Testogel 16.2mg/g gel,Testosterone 16.2mg/g transdermal gel (20.25mg per actuation)
Testogel 40.5mg/2.5g transdermal gel sachets,Testosterone 40.5mg/2.5g transdermal gel unit dose sachets
Thealoz Duo Gel eye gel 0.4g unit dose preservative free,timolol 1mg/g gel eye drops 0.4g unit dose preservative free
TheiCal-D3 1000mg/880unit chewable tablets,Colecalciferol 880unit / Calcium carbonate 2.5g chewable tablets
"Thorens 10,000units/ml oral drops","Colecalciferol 10,000units/ml oral drops sugar free"
"Thorens 25,000unit capsules","colecalciferol 25,000unit capsules"
Tildiem 60mg modified-release tablets,Diltiazem 60mg modified-release tablets
Tildiem LA 200 capsules,Diltiazem 200mg modified-release capsules
Tildiem LA 300 capsules,diltiazem 300mg modified-release capsules
Tildiem LA 300mg capsules,diltiazem 300mg modified-release capsules
Tildiem Retard 120mg tablets,Diltiazem 120mg modified-release tablets
Tildiem Retard 90mg tablets,Diltiazem 90mg modified-release tablets
Tilodol SR 100mg tablets,tramadol 100mg modified-release capsules
Tilodol SR 150mg tablets,tramadol 150mg modified-release capsules
Tiloket 2.5% gel,Ketoprofen 2.5% gel
Tiogiva 18microgram inhalation powder capsules,Tiotropium bromide 18microgram inhalation powder capsules
Tiopex 1mg/g eye gel 0.4g unit dose,Timolol 1mg/g gel eye drops 0.4g unit dose preservative free
Tizagelan 2mg tablets,Tizanidine 2mg tablets
Topamax 25mg sprinkle capsules,Topiramate 25mg capsules
Topamax 50mg sprinkle capsules,Topiramate 50mg capsules
Tostran 2% gel,Testosterone 2% transdermal gel (10mg per actuation)
Trajenta 5mg tablets,Linagliptin 5mg tablets
Tramacet 37.5mg/325mg tablets,Tramadol 37.5mg / Paracetamol 325mg tablets
Tramadol 100mg modified-release tablets,tramadol 100mg modified-release capsules
Tramadol 150mg modified-release tablets,tramadol 150mg modified-release capsules
Tramadol 200mg modified-release tablets,tramadol 200mg modified-release capsules
Tramulief SR 100mg tablets,tramadol 100mg modified-release capsules
Tramulief SR 200mg tablets,tramadol 200mg modified-release capsules
Trandate 200mg tablets,Labetalol 200mg tablets
Trelegy Ellipta 92micrograms/dose / 55micrograms/dose / 22micrograms/dose dry powder inhaler,umeclidinium bromide 65micrograms/dose / vilanterol 22micrograms/dose dry powder inhaler
Trimbow NEXThaler 88micrograms/dose / 5micrograms/dose / 9micrograms/dose dry powder inhaler,budesonide 400micrograms/dose / formoterol 12micrograms/dose dry powder inhaler
Trimovate cream,"Clobetasone 0.05% / Oxytetracycline 3% / Nystatin 100,000units/g cream"
Tritace 10mg tablets,ramipril 10mg tablets
Trokide 18microgram inhalation powder capsules,Tiotropium bromide 18microgram inhalation powder capsules
Trusopt 20mg/ml eye drops 0.2ml unit dose preservative free,dorzolamide 20mg/ml eye drops 0.2ml unit dose preservative free
Ultibro Breezhaler 85microgram/43microgram inhalation powder capsules with device,Indacaterol 85micrograms/dose / Glycopyrronium bromide 54micrograms/dose inhalation powder capsules with device
Uniroid HC ointment,Cinchocaine 0.5% / Hydrocortisone 0.5% ointment
Uniroid HC suppositories,Cinchocaine 5mg / Hydrocortisone 5mg suppositories
Urispas 200 tablets,flavoxate 200mg tablets
Ursofalk 250mg capsules,Ursodeoxycholic acid 250mg capsules
Ursonorm 500mg tablets,Ursodeoxycholic acid 500mg tablets
Utovlan 5mg tablets,Norethisterone 5mg tablets
VIZhyal 0.1% eye drops preservative free,dexamethasone 0.1% eye drops preservative free
Vagirux 10microgram vaginal tablets,Estradiol 10microgram pessaries
Valios 10mg orodispersible tablets sugar free,memantine 10mg orodispersible tablets sugar free
Valios 20mg orodispersible tablets sugar free,memantine 20mg orodispersible tablets sugar free
Valios 5mg orodispersible tablets sugar free,Memantine 5mg orodispersible tablets sugar free
Vascalpha 10mg modified-release tablets,Felodipine 10mg modified-release tablets
Vascalpha 5mg modified-release tablets,Felodipine 5mg modified-release tablets
Vencamil 75microgram tablets,Levothyroxine sodium 75microgram tablets
Vencarm XL 225mg capsules,Venlafaxine 225mg modified-release capsules
Venlablue XL 37.5mg capsules,Venlafaxine 37.5mg modified-release capsules
Venlasov XL 150mg capsules,Venlafaxine 150mg modified-release capsules
Vensir XL 150mg capsules,Venlafaxine 150mg modified-release capsules
Vensir XL 75mg capsules,Venlafaxine 75mg modified-release capsules
Ventolin 100micrograms/dose Evohaler,Salbutamol 100micrograms/dose inhaler CFC free
Ventolin 200micrograms/dose Accuhaler,Salbutamol 200micrograms/dose dry powder inhaler
Venzip XL 150mg capsules,Venlafaxine 150mg modified-release capsules
Venzip XL 75mg capsules,Venlafaxine 75mg modified-release capsules
Vera-Til SR 120mg tablets,Verapamil 120mg modified-release tablets
Vermox 100mg chewable tablets,Mebendazole 100mg chewable tablets sugar free
Vermox 100mg/5ml oral suspension,Mebendazole 100mg/5ml oral suspension
Vesomni 6mg/0.4mg modified-release tablets,solifenacin 6mg / tamsulosin 400microgram modified-release tablets
